"id","locale","name","text","image"
"200025","es","Aidan Lyle","Camarilla: Aidan obtiene 1 acoso opcional por combate.",""
"201529","es","Alexa Draper","Príncipe Camarilla de Melbourne: Durante la fase de votación de un referéndum, Alexa puede descartarse de 1 carta que requiera Dominación [dom] para obtener +1 voto.","/img/cards/es/201529.jpg"
"201530","es","Alexander Silverson","Príncipe Camarilla de Birmingham: Los vampiros deben quemar 1 de sangre para emitir votos y papeletas contra referendos propuestos por Alexander.","/img/cards/es/201530.jpg"
"201531","es","Alice Chen","Príncipe Camarilla de Nairobi.","/img/cards/es/201531.jpg"
"201576","es","Aline Gädeke","Barón Anarquista de Mannheim: Una vez por turno, Aline puede quemar 1 de sangre para enderezarse después de que otro Anarquista que controles realice una acción con éxito.","/img/cards/es/201576.jpg"
"201577","es","Aluc Romas de Leon","Anarquista.","/img/cards/es/201577.jpg"
"201512","es","America Johnson","Sabbat.",""
"201532","es","Andi Liu","Príncipe Camarilla de Taipéi.","/img/cards/es/201532.jpg"
"200114","es","Antón de Concepción","Arzobispo Sabbat de Chicago: Antón obtiene 1 maniobra opcional durante el primer asalto del combate.",""
"200116","es","Antonio d'Erlette","Sabbat: Mientras Antonio esté preparado, puedes usar 4 transferencias para buscar en tu mano o biblioteca (baraja después) un aliado mago que él pudiera jugar. Pon ese aliado en juego con vida igual a la inicial y paga su costo normalmente.",""
"200123","es","Apolonia Czarnecki","Camarilla: Apolonia puede robarle 1 de sangre a un vampiro más joven con una acción (D).",""
"200132","es","Ariane","Anarquista: Ariane obtiene -1 de sigilo en acciones indirectas.","/img/cards/es/200132.jpg"
"200144","es","Arthur Denholm","Camarilla.",""
"201533","es","Ashley","Camarilla.","/img/cards/es/201533.jpg"
"201578","es","Asmin Kobane","Camarilla.","/img/cards/es/201578.jpg"
"201579","es","Atiena","Barón Anarquista de Mombasa.","/img/cards/es/201579.jpg"
"201534","es","Tía Linda","Camarilla.","/img/cards/es/201534.jpg"
"201535","es","Ayelech","Príncipe Camarilla de Adís Abeba.","/img/cards/es/201535.jpg"
"201536","es","Baixinho","Camarilla.","/img/cards/es/201536.jpg"
"200185","es","Escarabajo","Camarilla.",""
"200186","es","Bela","Independiente: Bela no puede realizar acciones políticas. -1 de sigilo.",""
"201537","es","Belinde","Príncipe Camarilla de Copenhagen.","/img/cards/es/201537.jpg"
"200190","es","Benjamin Rose","Príncipe Camarilla de Washington, D.C.: Benjamin puede proponer un referéndum para darte +1 a la mano hasta el final de la partida con una acción política con +1 de sigilo.",""
"201580","es","Bijou","Camarilla.","/img/cards/es/201580.jpg"
"201581","es","Brandon Grime","Anarquista.","/img/cards/es/201581.jpg"
"201538","es","Bret Stryker","Camarilla: Bret obtiene -1 de intercepción contra vampiros titulados.","/img/cards/es/201538.jpg"
"201539","es","Brock Sterling","Camarilla.","/img/cards/es/201539.jpg"
"200249","es","Carolina Vález","Arzobispo Sabbat de Montreal: Carolina es inmune al daño de aliados o criados.",""
"201540","es","Catalina Vega","Príncipe Camarilla de Buenos Aires: +1 de sangrado.","/img/cards/es/201540.jpg"
"201513","es","Charles Delmare","Cardenal Sabbat: Charles obtiene 1 acoso opcional por combate.",""
"201541","es","Chelsea Blake","Camarilla.","/img/cards/es/201541.jpg"
"201542","es","Chrysanthemum","Primogénita Camarilla.","/img/cards/es/201542.jpg"
"200280","es","Claus Wegener","Camarilla.",""
"201543","es","Colette","Camarilla.","/img/cards/es/201543.jpg"
"201514","es","Conchita Morales","Sabbat.",""
"200303","es","Cuervo","Anarquista.","/img/cards/es/200303.jpg"
"201582","es","Crystal Lynn","Anarquista.","/img/cards/es/201582.jpg"
"201583","es","Dario Ziggler","Anarquista.","/img/cards/es/201583.jpg"
"201584","es","Doctor Morocco","Anarquista.","/img/cards/es/201584.jpg"
"201544","es","Donny Kowalczyk","Príncipe Camarilla de Pittsburgh.","/img/cards/es/201544.jpg"
"201545","es","La Viuda","Primogénita Camarilla: La Viuda obtiene +1 de intercepción contra acciones directas.","/img/cards/es/201545.jpg"
"200381","es","Dr. Morrow, el Desollador","Sabbat: Morrow puede ponerle 1 ficha de injerto a un aliado con una acción (D). Los aliados con fichas de injerto obtienen -1 de sigilo. Mano Negra.",""
"201546","es","Dr. Stephen Norton","Camarilla.","/img/cards/es/201546.jpg"
"200391","es","Dualidad","Sabbat: Puedes robar 1 carta más tras reemplazar una carta que requiera Vicisitud [vic] jugada por Dualidad.",""
"201585","es","Elen Kamjian","Anarquista: Si controlas a un siervo girado, Elen debe sangrar con +1 de sangrado con una acción (D), a no ser que deba cazar.","/img/cards/es/201585.jpg"
"201586","es","Elisha Tucker","Barón Anarquista de Pittsburgh.","/img/cards/es/201586.jpg"
"200418","es","Ember Wright","Sabbat.",""
"200421","es","Emily Carson","Primogénita Camarilla: Durante tu fase de descarte, Emily puede quemar la Ventaja para enderezarse.",""
"200427","es","Epikasta Rigatos","Príncipe Camarilla de Nueva York: Puedes pasar una carta de acción jugada por Epikasta de tu montón de ceniza a tu biblioteca tras resolverse (baraja después).",""
"201587","es","Farah Sarroub","Príncipe Camarilla de Detroit.","/img/cards/es/201587.jpg"
"201588","es","Faruq Abd al-Qadir","Anarquista: Los siervos con alguna de tus fichas de corrupción que estén en combate con Faruq no pueden atacar terminando el combate. +1 de fuerza.","/img/cards/es/201588.jpg"
